title,url,platform,metacritic,user,genre
Citizen Sleeper,https://www.metacritic.com/game/xbox-series-x/citizen-sleeper,Xbox Series X,85,7.9,"Role-Playing, Action Adventure, General, Western-Style"
Crusader Kings III: Console Edition,https://www.metacritic.com/game/playstation-5/crusader-kings-iii-console-edition,PlayStation 5,85,6.4,"Strategy, Real-Time, General"
Teenage Mutant Ninja Turtles: Shredder's Revenge,https://www.metacritic.com/game/playstation-4/teenage-mutant-ninja-turtles-shredders-revenge,PlayStation 4,85,8.4,"Action, Beat-'Em-Up, 2D"
Tunic,https://www.metacritic.com/game/pc/tunic,PC,85,7.7,"Role-Playing, Action Adventure, Action RPG, Open-World"
Cult of the Lamb,https://www.metacritic.com/game/playstation-5/cult-of-the-lamb,PlayStation 5,85,5.7,"Action Adventure, General"
Monster Hunter Rise: Sunbreak,https://www.metacritic.com/game/switch/monster-hunter-rise-sunbreak,Switch,85,3.4,"Role-Playing, Action RPG"
Destiny 2: The Witch Queen,https://www.metacritic.com/game/pc/destiny-2-the-witch-queen,PC,85,8.1,"Action, Shooter, First-Person, Arcade"
Tinykin,https://www.metacritic.com/game/switch/tinykin,Switch,85,7.6,"Action, Strategy, Real-Time, Platformer, 3D, Command"
Return to Monkey Island,https://www.metacritic.com/game/switch/return-to-monkey-island,Switch,85,7.6,"Adventure, Point-and-Click"
Forza Horizon 5: Hot Wheels,https://www.metacritic.com/game/xbox-series-x/forza-horizon-5-hot-wheels,Xbox Series X,85,7.8,"Racing, Simulation, Automobile"
Kirby and the Forgotten Land,https://www.metacritic.com/game/switch/kirby-and-the-forgotten-land,Switch,85,8.8,"Action, Platformer, 3D"
AI: The Somnium Files - nirvanA Initiative,https://www.metacritic.com/game/playstation-4/ai-the-somnium-files---nirvana-initiative,PlayStation 4,85,8.5,"Action Adventure, General"
Death Stranding: Director's Cut,https://www.metacritic.com/game/pc/death-stranding-directors-cut,PC,85,7.5,"Action, Action Adventure, General, Open-World"
Destiny 2: The Witch Queen,https://www.metacritic.com/game/xbox-series-x/destiny-2-the-witch-queen,Xbox Series X,85,7.8,"Action, Shooter, First-Person, Arcade"
Tunic,https://www.metacritic.com/game/xbox-series-x/tunic,Xbox Series X,85,7.8,"Role-Playing, Action Adventure, Action RPG, Open-World"
OlliOlli World,https://www.metacritic.com/game/playstation-5/olliolli-world,PlayStation 5,84,7.8,"Action, Platformer, 2D"
Teenage Mutant Ninja Turtles: Shredder's Revenge,https://www.metacritic.com/game/pc/teenage-mutant-ninja-turtles-shredders-revenge,PC,84,8.8,"Action, Beat-'Em-Up, 2D"
SNK vs. Capcom: Card Fighters' Clash,https://www.metacritic.com/game/switch/snk-vs-capcom-card-fighters-clash,Switch,84,5,"Strategy, Turn-Based, Card Battle"
Two Point Campus,https://www.metacritic.com/game/xbox-series-x/two-point-campus,Xbox Series X,84,6.7,"Strategy, Management, Business / Tycoon"
Red Matter 2,https://www.metacritic.com/game/pc/red-matter-2,PC,84,8,"Adventure, 3D, First-Person"
Nobody Saves the World,https://www.metacritic.com/game/switch/nobody-saves-the-world,Switch,84,8.1,"Role-Playing, Action RPG"
Infernax,https://www.metacritic.com/game/pc/infernax,PC,84,7.2,"Action, Action Adventure, Platformer, Open-World, Metroidvania"
Gordian Quest,https://www.metacritic.com/game/pc/gordian-quest,PC,84,8.2,"Strategy, Turn-Based, Card Battle"
Infernax,https://www.metacritic.com/game/switch/infernax,Switch,84,7.6,"Action, Action Adventure, Platformer, Open-World, Metroidvania"
Patrick's Parabox,https://www.metacritic.com/game/pc/patricks-parabox,PC,84,8.7,"Puzzle, Action"
Retro Bowl,https://www.metacritic.com/game/switch/retro-bowl,Switch,84,6.6,"Sports, Strategy, Management, Team, Football, Business / Tycoon, Sim"
Azure Striker Gunvolt 3,https://www.metacritic.com/game/switch/azure-striker-gunvolt-3,Switch,83,7.5,"Action, Platformer, 2D"
Crusader Kings III,https://www.metacritic.com/game/xbox-series-x/crusader-kings-iii,Xbox Series X,83,6.2,"Strategy, Real-Time, General"
Grounded,https://www.metacritic.com/game/pc/grounded,PC,83,6.8,"Action Adventure, Survival, Sandbox"
Teenage Mutant Ninja Turtles: The Cowabunga Collection,https://www.metacritic.com/game/switch/teenage-mutant-ninja-turtles-the-cowabunga-collection,Switch,83,7.6,"Miscellaneous, Compilation"
Strange Horticulture,https://www.metacritic.com/game/pc/strange-horticulture,PC,83,5.8,"Adventure, General"
Splatoon 3,https://www.metacritic.com/game/switch/splatoon-3,Switch,83,7.4,"Action, Shooter, Third-Person, Arcade"
Two Point Campus,https://www.metacritic.com/game/pc/two-point-campus,PC,83,7.1,"Strategy, Management, Business / Tycoon"
Stray,https://www.metacritic.com/game/playstation-5/stray,PlayStation 5,83,8.6,"Action Adventure, Adventure, General, 3D, Third-Person"
Moss: Book II,https://www.metacritic.com/game/playstation-4/moss-book-ii,PlayStation 4,83,7.9,"Action Adventure, General"
Record of Lodoss War: Deedlit in Wonder Labyrinth,https://www.metacritic.com/game/switch/record-of-lodoss-war-deedlit-in-wonder-labyrinth,Switch,83,7.2,"Action, Action Adventure, Platformer, Open-World, Metroidvania"
Atelier Sophie 2: The Alchemist of the Mysterious Dream,https://www.metacritic.com/game/pc/atelier-sophie-2-the-alchemist-of-the-mysterious-dream,PC,83,8.9,"Role-Playing, Japanese-Style"
Pokemon Legends: Arceus,https://www.metacritic.com/game/switch/pokemon-legends-arceus,Switch,83,8.2,"Role-Playing, Trainer"
Triangle Strategy,https://www.metacritic.com/game/switch/triangle-strategy,Switch,83,8.1,"Strategy, Turn-Based, Tactics"
Stray,https://www.metacritic.com/game/pc/stray,PC,83,8.5,"Action Adventure, Adventure, General, 3D, Third-Person"
Infernax,https://www.metacritic.com/game/playstation-4/infernax,PlayStation 4,83,7.6,"Action, Action Adventure, Platformer, Open-World, Metroidvania"
Grounded,https://www.metacritic.com/game/xbox-series-x/grounded,Xbox Series X,83,7.9,"Survival, Action Adventure, Sandbox"
Two Point Campus,https://www.metacritic.com/game/playstation-5/two-point-campus,PlayStation 5,83,4.3,"Strategy, Management, Business / Tycoon"
Crusader Kings III: The Royal Court,https://www.metacritic.com/game/pc/crusader-kings-iii-the-royal-court,PC,83,6.3,"Strategy, Real-Time, General"
Not For Broadcast,https://www.metacritic.com/game/pc/not-for-broadcast,PC,82,8.3,"Simulation, Virtual, Career"
Lost in Play,https://www.metacritic.com/game/pc/lost-in-play,PC,82,7.7,"Adventure, General"
Atelier Sophie 2: The Alchemist of the Mysterious Dream,https://www.metacritic.com/game/playstation-4/atelier-sophie-2-the-alchemist-of-the-mysterious-dream,PlayStation 4,82,9,"Role-Playing, Japanese-Style"
